,artist_name,artist_id,playlist_song,country,artist_uri
23,SOUTHERN ALL STARS,6HqHB2AFBXUQHQFN026oYP,Relay~Mori no Uta,JP,spotify:artist:6HqHB2AFBXUQHQFN026oYP
24,Mr.Children,1qma7XhwZotCAucL7NHVLY,ケモノミチ,JP,spotify:artist:1qma7XhwZotCAucL7NHVLY
25,SEKAI NO OWARI,7HwzlRPa9Ad0I8rK0FPzzK,最高到達点,JP,spotify:artist:7HwzlRPa9Ad0I8rK0FPzzK
26,Tani Yuuki,0B1ce3uNrzkdm76NXI4mhX,Cheers,JP,spotify:artist:0B1ce3uNrzkdm76NXI4mhX
27,ARASHI,1XYuC1vxinTjHCNd5clB8C,Love So Sweet,JP,spotify:artist:1XYuC1vxinTjHCNd5clB8C
28,BE:FIRST,4wCW8kZ8LL7QIdcE8EOKPP,Mainstream,JP,spotify:artist:4wCW8kZ8LL7QIdcE8EOKPP
29,Hikaru Utada,7lbSsjYACZHn1MSDXPxNF2,Gold　～また逢う日まで～,JP,spotify:artist:7lbSsjYACZHn1MSDXPxNF2
30,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),JP,spotify:artist:06HL4z0CvFAxyc27GXpf02
31,Creep Hyp,6POfB0fHdzXFLWL3RHxLv8,青梅,JP,spotify:artist:6POfB0fHdzXFLWL3RHxLv8
32,B'z,7i9bNUSGORP5MIgrii3cJc,STARS,JP,spotify:artist:7i9bNUSGORP5MIgrii3cJc
33,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,"Eve, Psyche & The Bluebeard’s wife",JP,spotify:artist:4SpbR6yFEvexJuaBpgAU5p
34,Aimer,0bAsR2unSRpn6BQPEnNlZm,白色蜉蝣,JP,spotify:artist:0bAsR2unSRpn6BQPEnNlZm
35,IVE,6RHTUrRF63xao58xh9FXYJ,Baddie,JP,spotify:artist:6RHTUrRF63xao58xh9FXYJ
36,Nogizaka46,08lN7bm4Etec8ETFxaTUmq,Monopoly,JP,spotify:artist:08lN7bm4Etec8ETFxaTUmq
37,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,THE GIRLS - BLACKPINK THE GAME OST,JP,spotify:artist:41MozSoPIsD1dJM0CLPjZF
38,milet,45ft4DyTCEJfQwTBHXpdhM,コイコガレ,JP,spotify:artist:45ft4DyTCEJfQwTBHXpdhM
39,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Explicit Ver.),JP,spotify:artist:6HaGTQPmzraVmaVxvz6EUc
40,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,STAY (with Justin Bieber),JP,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
41,ZUTOMAYO,38WbKH6oKAZskBhqDFA8Uj,花一匁,JP,spotify:artist:38WbKH6oKAZskBhqDFA8Uj
42,BUMP OF CHICKEN,0hSFeqPehe7FtCNWuQ6Bsy,SOUVENIR,JP,spotify:artist:0hSFeqPehe7FtCNWuQ6Bsy
43,Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,With,JP,spotify:artist:1qM11R4ylJyQiPJ0DffE9z
44,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Eyes Closed,JP,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
45,Novelbright,0jWCX6zp4RjWrmZRxJ2uri,面影,JP,spotify:artist:0jWCX6zp4RjWrmZRxJ2uri
46,DREAMS COME TRUE,2mJOGcLR3aCHkM1uAF93or,何度でも,JP,spotify:artist:2mJOGcLR3aCHkM1uAF93or
47,Ryokuoushoku Shakai,4SJ7qRgJYNXB9Yttzs4aSa,サマータイムシンデレラ,JP,spotify:artist:4SJ7qRgJYNXB9Yttzs4aSa
48,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Attention,JP,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
49,GReeeeN,14T8NkbwXVZgbOvwnuGV89,ジュブナイル,JP,spotify:artist:14T8NkbwXVZgbOvwnuGV89
0,Bad Bunny,4q3ewBCX7sLwd24euuV69X,WHERE SHE GOES,PE,spotify:artist:4q3ewBCX7sLwd24euuV69X
1,Feid,2LRoIwlKmHjgvigdNGBHNo,CLASSY 101,PE,spotify:artist:2LRoIwlKmHjgvigdNGBHNo
2,KAROL G,790FomKkXshlbRYZFtlgla,TQG,PE,spotify:artist:790FomKkXshlbRYZFtlgla
