,artist,song_name,song_id,release_date,release_date_precision,popularity
250,Aimer,カタオモイ,2HovXsvcdJur52BOcYGydz,2016-09-21,day,69
251,Aimer,おもかげ (produced by Vaundy),6ts1KCOudfDYXYfyWtq0k1,2021-12-17,day,69
252,IVE,I AM,70t7Q6AYG6ZgTYmJWcnkUM,2023-04-10,day,83
253,IVE,Baddie,7uyeEbG6hyApgXuEypGcsZ,2023-10-13,day,81
254,IVE,After LIKE,2gYj9lubBorOPIVWsTXugG,2022-08-22,day,80
255,Nogizaka46,Monopoly,66jdKha03fC7OMdkGyQHDM,2023-12-06,day,54
256,Nogizaka46,おひとりさま天国,2JAwscGWJvCSK0HnES066Z,2023-08-16,day,55
257,Nogizaka46,月の大きさ,4bY2oZGA5Br3pTE1Jd1IfY,2013-11-27,day,58
258,BLACKPINK,How You Like That,4SFknyjLcyTLJFPKD2m96o,2020-10-02,day,88
259,BLACKPINK,Shut Down,7gRFDGEzF9UkBV233yv2dc,2022-09-15,day,76
260,BLACKPINK,Pink Venom,5zwwW9Oq7ubSxoCGyW1nbY,2022-09-15,day,76
261,milet,絆ノ奇跡,2VBLFxCUyFp5BfmsZpxcis,2023-04-10,day,76
262,milet,Anytime Anywhere,7FeEiAWqWScpMFnlLSUvX2,2023-09-29,day,69
263,milet,おもかげ (produced by Vaundy),6ts1KCOudfDYXYfyWtq0k1,2021-12-17,day,69
264,Jung Kook,Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,2023-11-03,day,91
265,Jung Kook,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,2023-11-03,day,97
266,Jung Kook,3D (feat. Jack Harlow),01qFKNWq73UfEslI0GvumE,2023-10-02,day,86
