,playlist_position,artist_name,artist_id,country,artist_uri,location,artist_genre1,artist_genre2,artist_genre3
206,7,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,ZA,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,"Fayetteville, North Carolina, U.S.",conscious hip hop,hip hop,north carolina hip hop
207,8,Drake,3TVXtAsR1Inumwj472S9r4,ZA,spotify:artist:3TVXtAsR1Inumwj472S9r4,"Toronto,Ontario, Canada",canadian hip hop,canadian pop,hip hop
208,9,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ZA,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,"Houston, Texas, U.S.",hip hop,rap,slap house
209,10,SZA,7tYKF4w9nC0nq9CsPZTHyP,ZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,"Maplewood, New Jersey, U.S.",pop,r&b,rap
210,11,Sjava,4RfOLIFy2xEmlWzXEVmLJn,ZA,spotify:artist:4RfOLIFy2xEmlWzXEVmLJn,"Bergville, KwaZulu-Natal, South Africa",afro soul,south african pop,
211,12,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ZA,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"Saint Michael, Barbados",barbadian pop,pop,urban contemporary
212,13,Future,1RyvyyTE3xzB2ZywiAwp0i,ZA,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,"Atlanta, Georgia, U.S.",atl hip hop,hip hop,rap
213,14,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,ZA,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,"St. Louis,Missouri, U.S.",rap,,
214,15,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,ZA,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"Compton, California, U.S.",conscious hip hop,hip hop,rap
215,16,Beyoncé,6vWDO969PvNqNYHIOW5v0m,ZA,spotify:artist:6vWDO969PvNqNYHIOW5v0m,"Houston, Texas, U.S.",pop,r&b,
216,17,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,ZA,spotify:artist:4VlxI0WKDh7HFgHjXcfj6v,,amapiano,,
