,playlist_position,artist_name,artist_id,country,artist_uri,location,artist_genre1,artist_genre2,artist_genre3
21,22,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,GB,spotify:artist:1McMsnEElThX1knmY4oliG,"Murrieta, California, U.S.",pop,,
22,23,Future,1RyvyyTE3xzB2ZywiAwp0i,GB,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,"Atlanta, Georgia, U.S.",atl hip hop,hip hop,rap
23,24,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,GB,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,"London, England",permanent wave,pop,
24,25,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,GB,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,"Tappahannock, Virginia, U.S.",r&b,rap,
25,26,Adele,4dpARuHxo51G3z768sgnrY,GB,spotify:artist:4dpARuHxo51G3z768sgnrY,"London, England",british soul,pop,pop soul
26,27,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,GB,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,"Glasgow, Scotland",pop,uk pop,
27,28,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,GB,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,"St. Louis,Missouri, U.S.",rap,,
28,29,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,GB,spotify:artist:5YGY8feqx7naU7z4HrwZM6,"Franklin, Tennessee, U.S.",pop,,
29,30,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GB,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"Compton, California, U.S.",conscious hip hop,hip hop,rap
30,31,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,GB,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"Boca Raton, Florida, U.S.",pop,,
31,32,Lil Baby,5f7VJjfbwm532GiveGC0ZK,GB,spotify:artist:5f7VJjfbwm532GiveGC0ZK,"Atlanta, Georgia, U.S.",atl hip hop,atl trap,rap
32,33,Oasis,2DaxqgrOhkeH0fpeiQq2f4,GB,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,"Manchester, England",beatlesque,britpop,madchester
33,34,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,GB,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,"Homewood, Illinois, U.S.",chicago rap,melodic rap,rap
34,35,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,GB,spotify:artist:08GQAI4eElDnROBrJRGE0X,"London, England",album rock,classic rock,rock
35,36,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,GB,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,"Los Angeles, California, U.S.",dance pop,pop,
36,37,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,GB,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,"Fayetteville, North Carolina, U.S.",conscious hip hop,hip hop,north carolina hip hop
37,38,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,GB,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,"London, England",dance pop,pop,uk pop
38,39,The 1975,3mIj9lX2MWuHmhNCA7LSCW,GB,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,"Wilmslow, England",modern alternative rock,modern rock,pop
39,40,Burna Boy,3wcj11K77LjEY1PkEazffa,GB,spotify:artist:3wcj11K77LjEY1PkEazffa,"Port Harcourt, Rivers State, Nigeria",afrobeats,azontobeats,dancehall
40,41,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,GB,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,"Liverpool, England",british invasion,classic rock,merseybeat
41,42,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,GB,spotify:artist:1uNFoZAHBGtllmzznpCI3s,"London, Ontario, Canada",canadian pop,pop,
42,43,RAYE,5KKpBU5eC2tJDzf0wmlRp2,GB,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2,"London, England",uk contemporary r&b,uk pop,
43,44,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,GB,spotify:artist:1HY2Jd0NmPuamShAr6KMms,"New York City, US",art pop,dance pop,pop
44,45,Elton John,3PhoLpVuITZKcymswpck5b,GB,spotify:artist:3PhoLpVuITZKcymswpck5b,"Pinner,Middlesex, England",glam rock,mellow gold,piano rock
45,46,Queen,1dfeR4HaWDbWqFHLkxsg1d,GB,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,"London, England",classic rock,glam rock,rock
46,47,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,GB,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,"New York City, U.S.",hip pop,pop,queens hip hop
47,48,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,GB,spotify:artist:0du5cEVh5yTK9QJze8zA0C,"Honolulu, Hawaii, U.S.",dance pop,pop,
48,49,P!nk,1KCSPY1glIKqW2TotWuXOR,GB,spotify:artist:1KCSPY1glIKqW2TotWuXOR,"Philadelphia, Pennsylvania, U.S.",dance pop,pop,
49,50,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,GB,spotify:artist:53XhwfbYqKCa1cC15pYq2q,"Las Vegas, Nevada, U.S.",modern rock,pop,rock
50,1,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,JP,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9,"Tokyo, Japan",anime rock,j-pop,j-rock
51,2,Vaundy,2IUl3m1H1EQ7QfNbNWvgru,JP,spotify:artist:2IUl3m1H1EQ7QfNbNWvgru,,j-pop,japanese soul,
52,3,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,JP,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,"Tokyo, Japan",j-pop,japanese teen pop,
53,4,back number,6rs1KAoQnFalSqSU4LTh8g,JP,spotify:artist:6rs1KAoQnFalSqSU4LTh8g,"Gunma Prefecture, Japan",j-pop,j-rock,
54,5,OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,JP,spotify:artist:5Vo1hnCRmCM6M4thZCInCj,"Shimane, Japan",anime,anime rock,j-pop
55,6,BTS,3Nrfpe0tUJi4K4DXYWgMUX,JP,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,"Seoul, South Korea",k-pop,k-pop boy group,pop
56,7,Yuuri,0ixzjrK1wkN2zWBXt3VW3W,JP,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,"Makuhari,Chiba Prefecture, Japan",j-pop,japanese singer-songwriter,japanese teen pop
57,8,Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,JP,spotify:artist:1snhtMLeb2DYoMOcVbb8iB,"Tokushima, Japan",anime,j-pop,
58,9,Aimyon,5kVZa4lFUmAQlBogl1fkd6,JP,spotify:artist:5kVZa4lFUmAQlBogl1fkd6,"Nishinomiya,Hyogo, Japan",j-acoustic,j-pop,
59,10,Ado,6mEQK9m2krja6X1cfsAjfl,JP,spotify:artist:6mEQK9m2krja6X1cfsAjfl,"Tokyo,Japan",j-pop,japanese teen pop,
60,11,TWICE,7n2Ycct7Beij7Dj7meI4X0,JP,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,"Seoul, South Korea",k-pop,k-pop girl group,pop
61,12,RADWIMPS,1EowJ1WwkMzkCkRomFhui7,JP,spotify:artist:1EowJ1WwkMzkCkRomFhui7,"Kanagawa, Japan",j-pop,j-rock,japanese emo
62,13,King Gnu,6wxfx1yhyqjCPYwwxJktR2,JP,spotify:artist:6wxfx1yhyqjCPYwwxJktR2,Japan,j-pop,,
63,14,NewJeans,6HvZYsbFfjnjFrWF950C9d,JP,spotify:artist:6HvZYsbFfjnjFrWF950C9d,"Seoul, South Korea",k-pop,k-pop girl group,
64,15,Macaroni Empitsu,1t17z3vfuc82cxSDMrvryJ,JP,spotify:artist:1t17z3vfuc82cxSDMrvryJ,,anime,j-pop,japanese alternative rock
65,16,ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,JP,spotify:artist:4UK2Lzi6fBfUi9rpDt6cik,Japan,j-pop,,
66,17,Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,JP,spotify:artist:6bDWAcdtVR3WHz2xtiIPUi,Japan,japanese teen pop,,
67,18,SPITZ,5kjGRHClVacSyllOUqU1S0,JP,spotify:artist:5kjGRHClVacSyllOUqU1S0,"Tokyo, Japan",classic j-pop,j-pop,j-rock
68,19,Stray Kids,2dIgFjalVxs4ThymZ67YCE,JP,spotify:artist:2dIgFjalVxs4ThymZ67YCE,"Seoul,South Korea",k-pop,k-pop boy group,pop
69,20,Saucy Dog,4WqXqPmUuenMIr4QaFrZXN,JP,spotify:artist:4WqXqPmUuenMIr4QaFrZXN,,j-indie,j-pop,japanese alternative rock
70,21,SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,JP,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,"Seoul, South Korea.",k-pop,k-pop boy group,
71,22,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,JP,spotify:artist:7k73EtZwoPs516ZxE72KsO,"Tokyo, Japan",j-pop,j-rock,japanese emo
72,23,HIRAIDAI,7JthQ6zwNzfxRfIEjp6wUs,JP,spotify:artist:7JthQ6zwNzfxRfIEjp6wUs,,j-pop,japanese singer-songwriter,japanese teen pop
73,24,SOUTHERN ALL STARS,6HqHB2AFBXUQHQFN026oYP,JP,spotify:artist:6HqHB2AFBXUQHQFN026oYP,"Kanagawa, Japan",,,
74,25,Mr.Children,1qma7XhwZotCAucL7NHVLY,JP,spotify:artist:1qma7XhwZotCAucL7NHVLY,"Shibuya, Tokyo, Japan",classic j-pop,j-pop,j-rock
75,26,SEKAI NO OWARI,7HwzlRPa9Ad0I8rK0FPzzK,JP,spotify:artist:7HwzlRPa9Ad0I8rK0FPzzK,"Tokyo, Japan",anime,j-pop,
76,27,Tani Yuuki,0B1ce3uNrzkdm76NXI4mhX,JP,spotify:artist:0B1ce3uNrzkdm76NXI4mhX,,j-pop,japanese teen pop,
77,28,ARASHI,1XYuC1vxinTjHCNd5clB8C,JP,spotify:artist:1XYuC1vxinTjHCNd5clB8C,"Tokyo, Japan",j-pop,,
78,29,BE:FIRST,4wCW8kZ8LL7QIdcE8EOKPP,JP,spotify:artist:4wCW8kZ8LL7QIdcE8EOKPP,Japan,j-pop boy group,,
79,30,Hikaru Utada,7lbSsjYACZHn1MSDXPxNF2,JP,spotify:artist:7lbSsjYACZHn1MSDXPxNF2,Japan,anime,classic j-pop,j-pop
80,31,Taylor Swift,06HL4z0CvFAxyc27GXpf02,JP,spotify:artist:06HL4z0CvFAxyc27GXpf02,"Nashville, Tennessee, US",pop,,
81,32,Creep Hyp,6POfB0fHdzXFLWL3RHxLv8,JP,spotify:artist:6POfB0fHdzXFLWL3RHxLv8,,j-pop,j-rock,
82,33,B'z,7i9bNUSGORP5MIgrii3cJc,JP,spotify:artist:7i9bNUSGORP5MIgrii3cJc,Japan,j-pop,,
83,34,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,JP,spotify:artist:4SpbR6yFEvexJuaBpgAU5p,"Seoul, South Korea",k-pop girl group,,
84,35,Aimer,0bAsR2unSRpn6BQPEnNlZm,JP,spotify:artist:0bAsR2unSRpn6BQPEnNlZm,,anime,anime rock,j-pixie
85,36,IVE,6RHTUrRF63xao58xh9FXYJ,JP,spotify:artist:6RHTUrRF63xao58xh9FXYJ,"Seoul, South Korea",k-pop girl group,,
86,37,Nogizaka46,08lN7bm4Etec8ETFxaTUmq,JP,spotify:artist:08lN7bm4Etec8ETFxaTUmq,"Tokyo, Japan",j-idol,j-pop,j-pop girl group
87,38,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,JP,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"Seoul, South Korea",k-pop,k-pop girl group,pop
88,39,milet,45ft4DyTCEJfQwTBHXpdhM,JP,spotify:artist:45ft4DyTCEJfQwTBHXpdhM,Japan,j-pop,,
89,40,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,JP,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,"Busan, South Korea",k-pop,,
90,41,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,JP,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,"Waterloo, New South Wales, Australia",australian hip hop,,
91,42,ZUTOMAYO,38WbKH6oKAZskBhqDFA8Uj,JP,spotify:artist:38WbKH6oKAZskBhqDFA8Uj,Japan,j-pop,,
92,43,BUMP OF CHICKEN,0hSFeqPehe7FtCNWuQ6Bsy,JP,spotify:artist:0hSFeqPehe7FtCNWuQ6Bsy,"Sakura,Chiba Prefecture, Japan",j-pop,j-rock,
93,44,Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,JP,spotify:artist:1qM11R4ylJyQiPJ0DffE9z,Japan,j-pop,japanese teen pop,
94,45,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,JP,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,"Halifax,West Yorkshire, England",pop,singer-songwriter pop,uk pop
95,46,Novelbright,0jWCX6zp4RjWrmZRxJ2uri,JP,spotify:artist:0jWCX6zp4RjWrmZRxJ2uri,"Osaka, Japan",j-pop,j-rock,
96,47,DREAMS COME TRUE,2mJOGcLR3aCHkM1uAF93or,JP,spotify:artist:2mJOGcLR3aCHkM1uAF93or,Japan,classic j-pop,j-pop,
97,48,Ryokuoushoku Shakai,4SJ7qRgJYNXB9Yttzs4aSa,JP,spotify:artist:4SJ7qRgJYNXB9Yttzs4aSa,Aichi Prefecture,j-pop,,
98,49,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,JP,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,"Rumson, New Jersey, U.S.",pop,viral pop,
99,50,GReeeeN,14T8NkbwXVZgbOvwnuGV89,JP,spotify:artist:14T8NkbwXVZgbOvwnuGV89,"Kōriyama,Fukushima,Japan",j-pop,j-pop boy group,
100,1,Bad Bunny,4q3ewBCX7sLwd24euuV69X,PE,spotify:artist:4q3ewBCX7sLwd24euuV69X,"Vega Baja, Puerto Rico",reggaeton,trap latino,urbano latino
101,2,Feid,2LRoIwlKmHjgvigdNGBHNo,PE,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,"Medellín, Colombia",colombian pop,pop reggaeton,reggaeton
102,3,KAROL G,790FomKkXshlbRYZFtlgla,PE,spotify:artist:790FomKkXshlbRYZFtlgla,"Medellín, Antioquia, Colombia",reggaeton,reggaeton colombiano,trap latino
103,4,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,PE,spotify:artist:1mcTU81TzQhprhouKaTkpq,"San Juan, Puerto Rico",puerto rican pop,reggaeton,trap latino
104,5,Anuel AA,2R21vXR83lH98kGeO99Y66,PE,spotify:artist:2R21vXR83lH98kGeO99Y66,"Carolina, Puerto Rico",reggaeton,reggaeton flow,trap boricua
105,6,Myke Towers,7iK8PXO48WeuP03g8YR51W,PE,spotify:artist:7iK8PXO48WeuP03g8YR51W,"Río Piedras,Puerto Rico, U.S.",reggaeton,trap latino,urbano latino
106,7,Shakira,0EmeFodog0BfCgMzAIvKQp,PE,spotify:artist:0EmeFodog0BfCgMzAIvKQp,"Barranquilla, Colombia",colombian pop,dance pop,latin pop
107,8,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,PE,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,"San Juan, Puerto Rico",puerto rican pop,reggaeton,trap latino
108,9,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,PE,spotify:artist:4VMYDCV2IEDYJArk749S6m,"San Juan, Puerto Rico",latin hip hop,reggaeton,trap latino
109,10,Taylor Swift,06HL4z0CvFAxyc27GXpf02,PE,spotify:artist:06HL4z0CvFAxyc27GXpf02,"Nashville, Tennessee, US",pop,,
110,11,Morat,5C4PDR4LnhZTbVnKWXuDKD,PE,spotify:artist:5C4PDR4LnhZTbVnKWXuDKD,"Bogotá, Colombia",colombian pop,latin viral pop,
111,12,Bizarrap,716NhGYqD1jl2wI1Qkgq36,PE,spotify:artist:716NhGYqD1jl2wI1Qkgq36,"Ramos Mejía, Buenos Aires, Argentina",argentine hip hop,pop venezolano,trap argentino
112,13,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,PE,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,"Medellín,Antioquia, Colombia",reggaeton,reggaeton colombiano,trap latino
113,14,Quevedo,52iwsT98xCoGgiGntTiR7K,PE,spotify:artist:52iwsT98xCoGgiGntTiR7K,"Madrid, Spain",rap canario,trap latino,urbano latino
114,15,Duki,1bAftSH8umNcGZ0uyV7LMg,PE,spotify:artist:1bAftSH8umNcGZ0uyV7LMg,"Almagro, Buenos Aires, Argentina",argentine hip hop,trap argentino,trap latino
115,16,Grupo 5,0l8RtvcBMjeOqfgRSVo2d6,PE,spotify:artist:0l8RtvcBMjeOqfgRSVo2d6,,cumbia peruana,,
116,17,Mora,0Q8NcsJwoCbZOHHW63su5S,PE,spotify:artist:0Q8NcsJwoCbZOHHW63su5S,,trap latino,urbano latino,
117,18,Maluma,1r4hJ1h58CWwUQe3MxPuau,PE,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,"Medellín,Antioquia, Colombia",latin pop,reggaeton,reggaeton colombiano
118,19,Marshmello,64KEffDW9EtZ1y2vBYgq8T,PE,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,"Philadelphia, Pennsylvania, U.S.",brostep,edm,pop
119,20,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,PE,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"Toronto,Ontario, Canada",canadian contemporary r&b,canadian pop,pop
120,21,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,PE,spotify:artist:5XJDexmWFLWOkjOEjOVX3e,"Humacao, Puerto Rico",trap boricua,trap latino,trap triste
121,22,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,PE,spotify:artist:07YUOmWljBTXwIseAUd9TW,"Medellín,Antioquia, Colombia",colombian pop,latin pop,reggaeton
122,23,Rels B,2IMZYfNi21MGqxopj9fWx8,PE,spotify:artist:2IMZYfNi21MGqxopj9fWx8,"Palma de Mallorca,Spain",r&b en espanol,spanish hip hop,trap latino
123,24,BTS,3Nrfpe0tUJi4K4DXYWgMUX,PE,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,"Seoul, South Korea",k-pop,k-pop boy group,pop
124,25,Jhayco,6nVcHLIgY5pE2YCl8ubca1,PE,spotify:artist:6nVcHLIgY5pE2YCl8ubca1,"Río Piedras, San Juan, Puerto Rico",reggaeton,trap latino,urbano latino
125,26,Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,PE,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,"Buenos Aires, Argentina",pop argentino,,
126,27,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,PE,spotify:artist:0XeEobZplHxzM9QzFQWLiR,"Patterson, California, U.S.",corrido,corridos tumbados,sad sierreno
127,28,KAROL G,790FomKkXshlbRYZFtlgla,PE,spotify:artist:790FomKkXshlbRYZFtlgla,"Medellín, Antioquia, Colombia",reggaeton,reggaeton colombiano,trap latino
128,29,Taiu,5szJHKg5xeUlQ9pTqzdpic,PE,spotify:artist:5szJHKg5xeUlQ9pTqzdpic,,trap argentino,,
129,30,Arcángel,4SsVbpTthjScTS7U2hmr1X,PE,spotify:artist:4SsVbpTthjScTS7U2hmr1X,"New York City, U.S.",latin hip hop,reggaeton,trap latino
130,31,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,PE,spotify:artist:6XkjpgcEsYab502Vr1bBeW,"Edinburg, Texas,United States",musica chihuahuense,,
131,32,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,PE,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,"Córdoba, Argentina",argentine hip hop,trap argentino,trap latino
132,33,TINI,7vXDAI8JwjW531ouMGbfcp,PE,spotify:artist:7vXDAI8JwjW531ouMGbfcp,"Buenos Aires, Argentina",latin pop,latin viral pop,pop argentino
133,34,Young Miko,3qsKSpcV3ncke3hw52JSMB,PE,spotify:artist:3qsKSpcV3ncke3hw52JSMB,"Añasco, Puerto Rico",trap latino,urbano latino,
134,35,Big One,2OhUNb01gLwygOizYvTm0e,PE,spotify:artist:2OhUNb01gLwygOizYvTm0e,,trap argentino,,
135,36,Armonia 10,2MLibj8EtYKluK594J3D9Y,PE,spotify:artist:2MLibj8EtYKluK594J3D9Y,,cumbia peruana,,
136,37,Agua Marina,5ZAR5Usb11xw4KENbEE8uZ,PE,spotify:artist:5ZAR5Usb11xw4KENbEE8uZ,,cumbia peruana,,
137,38,Sech,77ziqFxp5gaInVrF2lj4ht,PE,spotify:artist:77ziqFxp5gaInVrF2lj4ht,"Río Abajo, Panama",panamanian pop,reggaeton,trap latino
138,39,Don Omar,33ScadVnbm2X8kkUqOkC6Z,PE,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,"Santurce, San Juan, Puerto Rico, U.S.",latin hip hop,puerto rican pop,reggaeton
139,40,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,PE,spotify:artist:37230BxxYs9ksS7OkZw3IU,"Guayama, Puerto Rico",reggaeton,reggaeton flow,trap latino
140,41,Reik,0vR2qb8m9WHeZ5ByCbimq2,PE,spotify:artist:0vR2qb8m9WHeZ5ByCbimq2,"Mexicali,Baja California,Mexico",latin arena pop,latin pop,mexican pop
141,42,Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1,PE,spotify:artist:5Y3MV9DZ0d87NnVm56qSY1,"Monte Grande, Buenos Aires, Argentina",trap argentino,trap latino,urbano latino
142,43,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,PE,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj,"Caracas,Venezuela",pop venezolano,reggaeton,trap latino
143,44,Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,PE,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD,"Cayey, Puerto Rico",latin hip hop,reggaeton,trap latino
144,45,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,PE,spotify:artist:1wZtkThiXbVNtj6hee6dz9,"Cayey, Puerto Rico",electro latino,reggaeton,trap latino
145,46,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,PE,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd,"Medellín,Colombia",colombian pop,latin pop,reggaeton
146,47,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,PE,spotify:artist:2nszmSgqreHSdJA3zWPyrW,"San Juan, Puerto Rico",bolero,latin pop,
147,48,Marshmello,64KEffDW9EtZ1y2vBYgq8T,PE,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,"Philadelphia, Pennsylvania, U.S.",brostep,edm,pop
148,49,Camilo,28gNT5KBp7IjEOQoevXf9N,PE,spotify:artist:28gNT5KBp7IjEOQoevXf9N,"Medellín, Antioquia",colombian pop,latin pop,latin viral pop
149,50,Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,PE,spotify:artist:2UZIAOlrnyZmyzt1nuXr9y,"Rosario, Santa Fe, Argentina",argentine hip hop,r&b argentino,trap argentino
150,1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,AU,spotify:artist:06HL4z0CvFAxyc27GXpf02,"Nashville, Tennessee, US",pop,,
151,2,Drake,3TVXtAsR1Inumwj472S9r4,AU,spotify:artist:3TVXtAsR1Inumwj472S9r4,"Toronto,Ontario, Canada",canadian hip hop,canadian pop,hip hop
152,3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,AU,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"Toronto,Ontario, Canada",canadian contemporary r&b,canadian pop,pop
153,4,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,AU,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,"Halifax,West Yorkshire, England",pop,singer-songwriter pop,uk pop
154,5,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,AU,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,"Sneedville, Tennessee, U.S.",contemporary country,,
155,6,Luke Combs,718COspgdWOnwOFpJHRZHS,AU,spotify:artist:718COspgdWOnwOFpJHRZHS,"Huntersville, North Carolina, U.S.",contemporary country,country,
156,7,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,AU,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,"Chicago,Illinois, U.S.",chicago rap,hip hop,rap
157,8,SZA,7tYKF4w9nC0nq9CsPZTHyP,AU,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,"Maplewood, New Jersey, U.S.",pop,r&b,rap
158,9,Eminem,7dGJo4pcD2V6oG8kP0tJRR,AU,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,"Detroit,Michigan, U.S.",detroit hip hop,hip hop,rap
159,10,Post Malone,246dkjvS1zLTtiykXe5h60,AU,spotify:artist:246dkjvS1zLTtiykXe5h60,"Los Angeles,California, U.S.",dfw rap,melodic rap,pop
160,11,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,AU,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"Saint Michael, Barbados",barbadian pop,pop,urban contemporary
161,12,21 Savage,1URnnhqYAYcrqrcwql10ft,AU,spotify:artist:1URnnhqYAYcrqrcwql10ft,"Atlanta,Georgia, U.S.",atl hip hop,hip hop,rap
162,13,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,AU,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,"Houston, Texas, U.S.",hip hop,rap,slap house
163,14,Harry Styles,6KImCVD70vtIoJWnq6nGn3,AU,spotify:artist:6KImCVD70vtIoJWnq6nGn3,"Holmes Chapel, England",pop,,
164,15,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,AU,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,"St. Louis,Missouri, U.S.",rap,,
165,16,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,AU,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,"Oologah, Oklahoma, U.S.",classic oklahoma country,,
166,17,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,AU,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,"Los Angeles, California, U.S.",art pop,pop,
167,18,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,AU,spotify:artist:00FQb4jTyendYWaN8pK0wa,"New York City, U.S.",art pop,pop,
168,19,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,AU,spotify:artist:1uNFoZAHBGtllmzznpCI3s,"London, Ontario, Canada",canadian pop,pop,
169,20,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,AU,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"Compton, California, U.S.",conscious hip hop,hip hop,rap
170,21,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,AU,spotify:artist:5YGY8feqx7naU7z4HrwZM6,"Franklin, Tennessee, U.S.",pop,,
